latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-4.85828,12.03196,303.88,1.4,1.17,2022-08-16,0105,A,57,6.1NRT,288.62,11.66,N
-8.73905,16.96802,302.77,3.87,1.83,2022-08-16,0105,A,51,6.1NRT,286.35,49.2,N
-5.41903,31.81253,309.1,4.75,1.99,2022-08-16,0724,T,42,6.1NRT,285.06,47.73,D
-6.75426,38.35584,311.6,1.41,1.18,2022-08-16,0724,T,9,6.1NRT,287.09,10.93,D
-6.7562,38.36846,314.33,1.41,1.18,2022-08-16,0724,T,55,6.1NRT,286.29,15.22,D
-6.77622,37.97315,316.19,1.5,1.21,2022-08-16,0724,T,50,6.1NRT,293.6,14.25,D
-7.4533,38.64428,315.16,1.32,1.14,2022-08-16,0724,T,62,6.1NRT,295.73,10.02,D
-6.95634,34.21779,313.87,2.9,1.62,2022-08-16,0724,T,59,6.1NRT,293.89,28.83,D
-7.67123,38.73048,316.27,1.3,1.13,2022-08-16,0724,T,60,6.1NRT,293.14,12.65,D
-6.95773,34.21175,312.74,2.9,1.62,2022-08-16,0724,T,54,6.1NRT,293.92,25.45,D
-7.91753,38.60201,310.86,1.31,1.14,2022-08-16,0724,T,21,6.1NRT,290.64,5.93,D
-7.39185,34.91188,321.85,2.51,1.52,2022-08-16,0724,T,57,6.1NRT,299.36,34.42,D
-7.39549,34.93419,320.28,2.5,1.52,2022-08-16,0724,T,33,6.1NRT,300.28,30.2,D
-8.05376,37.90381,324.47,1.45,1.19,2022-08-16,0724,T,75,6.1NRT,293.38,26.54,D
-8.0558,37.91687,326.62,1.45,1.19,2022-08-16,0724,T,80,6.1NRT,296.53,30.46,D
-8.1667,38.62989,320.37,1.29,1.13,2022-08-16,0724,T,70,6.1NRT,290.96,20.14,D
-7.46087,34.12487,312.44,2.88,1.62,2022-08-16,0724,T,59,6.1NRT,296.33,28.76,D
-7.59688,34.12352,320.29,2.87,1.62,2022-08-16,0724,T,64,6.1NRT,297.07,54.04,D
-7.59814,34.11619,316.49,2.87,1.62,2022-08-16,0724,T,48,6.1NRT,296.98,38.14,D
-8.22719,37.90522,327.79,1.44,1.19,2022-08-16,0724,T,82,6.1NRT,297.83,34.87,D
-7.65821,34.21097,321.3,2.82,1.6,2022-08-16,0724,T,63,6.1NRT,295.67,57.41,D
-7.67664,34.23377,321.92,2.8,1.6,2022-08-16,0724,T,69,6.1NRT,297.29,61.39,D
-7.69096,34.23155,331.51,2.8,1.6,2022-08-16,0724,T,85,6.1NRT,297.7,108.65,D
-7.67939,34.22739,327.18,2.8,1.6,2022-08-16,0724,T,58,6.1NRT,298,83.24,D
-7.69372,34.22522,329.58,2.8,1.6,2022-08-16,0724,T,84,6.1NRT,297.22,100.66,D
-8.58348,39.21883,312.61,1.18,1.08,2022-08-16,0724,T,44,6.1NRT,294.2,5.7,D
-8.66421,39.27579,320.14,1.17,1.08,2022-08-16,0724,T,44,6.1NRT,301.33,10.01,D
-8.67388,39.27433,324.1,1.17,1.08,2022-08-16,0724,T,76,6.1NRT,300.04,15.39,D
-8.60136,37.59161,325.28,1.49,1.21,2022-08-16,0724,T,68,6.1NRT,296.39,28.66,D
-8.61218,37.58994,320.27,1.49,1.21,2022-08-16,0724,T,38,6.1NRT,297.81,19.58,D
-8.6038,37.58503,328.03,1.49,1.21,2022-08-16,0724,T,82,6.1NRT,297.68,34.97,D
-9.10771,39.01818,317.33,1.2,1.09,2022-08-16,0724,T,62,6.1NRT,297.34,8.68,D
-9.26624,37.93487,328.08,1.38,1.16,2022-08-16,0724,T,81,6.1NRT,292.54,34.14,D
-9.53881,38.97166,319.11,1.19,1.08,2022-08-16,0724,T,62,6.1NRT,301.11,9.88,D
-9.67794,38.9376,326.88,1.19,1.08,2022-08-16,0724,T,80,6.1NRT,301.47,19.94,D
-9.6796,38.94828,318.12,1.19,1.08,2022-08-16,0724,T,67,6.1NRT,299.51,8.51,D
-9.71214,38.36845,320.72,1.28,1.12,2022-08-16,0724,T,67,6.1NRT,300.81,13.41,D
-9.10281,34.28896,321.19,2.62,1.55,2022-08-16,0724,T,57,6.1NRT,301.78,48.56,D
-26.52304,27.73272,302.27,3.41,1.74,2022-08-16,0729,T,51,6.1NRT,290.25,21.76,D
-27.82273,32.57721,328.33,1.5,1.21,2022-08-16,0729,T,63,6.1NRT,297.07,41.17,D
-27.83357,32.57472,340.51,1.5,1.21,2022-08-16,0729,T,70,6.1NRT,293.53,73.98,D
-27.58636,30.29539,309.65,2.15,1.43,2022-08-16,0729,T,69,6.1NRT,292.21,24.25,D
-27.59896,30.29181,307.77,2.15,1.43,2022-08-16,0729,T,64,6.1NRT,290.22,20.01,D
